"","V1","V2","V3"
"396",1506014167,3126.980358,0.0047
"397",1506014196,3126.980358,0.0016
"398",1506014225,3129.3251235,0.0042
"399",1506014254,3131.18833981,0.002
"400",1506014283,3131.8050795,0.0038
"401",1506014312,3131.8050795,0.0048
"402",1506014342,3131.8050795,0.001
"403",1506014370,3132.64819381,0.0044
"404",1506014399,3132.64819381,0.0043
"405",1506014428,3132.64819381,0.0016
"406",1506014457,3132.64819381,0.0018
"407",1506014486,3131.1650155,0.005
"408",1506014515,3131.1650155,0.0017
"409",1506014544,3131.1650155,0.0058
"410",1506014573,3131.1650155,0.0018
"411",1506014603,3131.1650155,0.0017
"412",1506014631,3131.1650155,0.0028
"413",1506014660,3135.0956347,0.0032
"414",1506014689,3135.0956347,0.0041
"415",1506014718,3137.5550175,0.0055
"416",1506014747,3137.5550175,0.004
"417",1506014776,3137.5550175,0.0033
"418",1506014805,3137.5550175,0.002
"419",1506014835,3137.5550175,0.0047
"420",1506014864,3137.5550175,0.0028
"421",1506014893,3132.40014,0.0025
"422",1506014924,3132.40014,0.0034
"423",1506014951,3124.570385,0.0034
"424",1506014980,3124.570385,0.0044
"425",1506015009,3121.1150395,0.0014
"426",1506015038,3121.1150395,0.0018
"427",1506015067,3123.560284,0.0022
"428",1506015096,3123.560284,0.0016
"429",1506015126,3126.3350065,0.0058
"430",1506015155,3126.3350065,0.0038
"431",1506015184,3126.3350065,0.004
"432",1506015212,3126.3350065,0.0056
"433",1506015242,3126.3350065,0.0044
"434",1506015271,3126.3350065,0.0011
"435",1506015299,3126.3350065,0.0038
"436",1506015329,3125.86302273,0.0043
"437",1506015358,3125.86302273,0.0042
"438",1506015387,3125.86302273,0.0011
"439",1506015416,3125.86302273,0.0042
"440",1506015445,3127.22315873,0.0025
"441",1506015474,3127.22315873,0.0017
"442",1506015504,3130.0251235,0.0022
"443",1506015532,3130.0251235,0.003
"444",1506015562,3131.59091007,0.0018
"445",1506015589,3131.59091007,0.0022
"446",1506015620,3129.71609757,0.0058
"447",1506015648,3129.71609757,0.0041
"448",1506015681,3111.3450525,0.002
"449",1506015706,3111.3450525,0.0057
"450",1506015735,3111.37079615,0.0016
"451",1506015764,3111.37079615,0.0058
"452",1506015795,3100.4750005,0.0034
"453",1506015822,3100.4750005,0.0026
"454",1506015851,3098.95192783,0.0052
"455",1506015880,3098.95192783,0.0021
"456",1506015910,3098.95192783,0.0015
"457",1506015939,3098.95192783,0.0053
"458",1506015968,3098.95192783,0.0018
"459",1506015997,3098.95192783,0.0044
"460",1506016026,3098.95192783,0.0043
"461",1506016056,3098.95192783,0.0015
"462",1506016084,3099.7350745,0.0031
"463",1506016114,3099.7350745,0.0047
"464",1506016142,3099.7350745,0.0022
"465",1506016172,3099.7350745,0.0055
"466",1506016200,3099.7350745,0.0023
"467",1506016230,3094.2350005,0.0018
"468",1506016260,3094.2350005,0.0056
"469",1506016288,3092.75369865,0.0055
"470",1506016317,3092.75369865,0.0011
"471",1506016347,3094.0950145,0.0058
"472",1506016374,3094.0950145,0.0026
"473",1506016404,3094.0950145,0.0026
"474",1506016434,3094.0950145,0.0011
"475",1506016463,3094.0950145,0.001
"476",1506016491,3094.0950145,0.0025
"477",1506016520,3094.0950145,0.0041
"478",1506016549,3094.0950145,0.0034
"479",1506016578,3094.0950145,0.0025
"480",1506016607,3094.0950145,0.0022
"481",1506016636,3094.0950145,0.0028
"482",1506016665,3094.0950145,0.0024
"483",1506016694,3094.0950145,0.001
"484",1506016723,3094.0950145,0.0032
"485",1506016753,3094.0950145,0.0032
"486",1506016781,3094.0950145,0.0042
"487",1506016809,3094.0950145,0.0037
"488",1506016841,3094.0950145,0.0031
"489",1506016870,3094.0950145,0.004
"490",1506016897,3094.0950145,0.001
"491",1506016926,3094.0950145,0.0057
"492",1506016955,3094.0950145,0.0035
"493",1506016984,3094.0950145,0.0031
"494",1506017013,3094.0950145,0.0047
"495",1506017042,3094.0950145,0.001
"496",1506017072,3094.0950145,0.0015
"497",1506017100,3094.0950145,0.0038
"498",1506017129,3094.0950145,0.002
"499",1506017158,3097.75074004,0.0051
"500",1506017188,3094.66121112,0.003
"501",1506017217,3094.66121112,0.0044
"502",1506017247,3094.66121112,0.0047
"503",1506017275,3092.44143312,0.0021
"504",1506017305,3094.59121812,0.0018
"505",1506017333,3094.59121812,0.0017
"506",1506017363,3094.4550645,0.0054
"507",1506017392,3094.4550645,0.0016
"508",1506017421,3094.4550645,0.0011
"509",1506017450,3094.4550645,0.0048
"510",1506017479,3094.4550645,0.0025
"511",1506017509,3094.4550645,0.0018
"512",1506017539,3095.2349865,0.0038
"513",1506017567,3095.2349865,0.0053
"514",1506017597,3095.2349865,0.0017
"515",1506017625,3095.2349865,0.002
"516",1506017654,3093.2553745,0.0027
"517",1506017683,3093.2553745,0.0054
"518",1506017712,3096.9950005,0.0024
"519",1506017741,3096.9950005,0.0011
"520",1506017771,3096.9950005,0.0036
"521",1506017799,3096.9950005,0.0048
"522",1506017831,3104.27010208,0.0052
"523",1506017858,3104.27010208,0.0033
"524",1506017887,3112.35006401,0.004
"525",1506017916,3112.35006401,0.005
"526",1506017945,3113.90696468,0.0037
"527",1506017974,3113.90696468,0.0026
"528",1506018003,3113.90696468,0.0044
"529",1506018033,3113.90696468,0.0026
"530",1506018062,3116.32107325,0.0037
"531",1506018091,3117.58945507,0.0034
"532",1506018120,3117.58945507,0.0018
"533",1506018149,3119.199994,0.0055
"534",1506018178,3119.199994,0.0018
"535",1506018207,3120.99177527,0.0045
"536",1506018236,3120.99177527,0.0056
"537",1506018265,3126.44841181,0.0033
"538",1506018294,3126.44841181,0.002
"539",1506018323,3129.32812381,0.0058
"540",1506018352,3129.32812381,0.0012
